Town,Founded,Formed from,County,"Pop.
(2020)","Land
(sq mi)","Water
(sq mi)",Coordinates,"GEO ID
(FIPS code)","ANSI code
(GNIS ID)"
West Almond,1835,"Alfred, Almond and Angelica",Allegany,274,35.995,0.095,"42.310960, -77.906467",3600379202,979617
West Bloomfield,1833,Bloomfield,Ontario,"2,740",25.461,0.039,"42.891997, -77.501298",3606979356,979618
West Monroe,1839,Constantia,Oswego,"4,088",33.746,4.841,"43.305626, -76.089132",3607580500,979623
West Seneca,1851,Cheektowaga and Hamburg,Erie,"45,500",21.357,0.057,"42.837777, -78.751233",3602980918,979626
West Sparta,1846,Sparta,Livingston,"1,156",33.450,0.000,"42.610449, -77.789193",3605181006,979627
West Turin,1830,Turin,Lewis,"1,692",102.054,0.343,"43.593319, -75.507486",3604981094,979628
West Union,1845,Greenwood,Steuben,343,40.903,0.146,"42.044429, -77.687883",3610181105,979629
Westerlo,1815,Coeymans and Rensselaerville,Albany,"3,194",57.791,0.746,"42.500334, -74.050291",3600179851,979619
Western,1797,Steuben,Oneida,"1,831",51.206,3.465,"43.350032, -75.410715",3606579862,979620
Westfield,1828,Portland and Ripley,Chautauqua,"4,553",47.185,0.066,"42.268345, -79.599793",3601379950,979621
Westford,1808,Worcester,Otsego,804,33.853,0.056,"42.643196, -74.816746",3607779972,979622
Westmoreland,1792,Whitestown,Oneida,"5,924",43.136,0.015,"43.123668, -75.445878",3606580533,979624
Westport,1815,Elizabethtown,Essex,"1,320",58.171,8.636,"44.184305, -73.446482",3603180775,979625
Westville,1829,Constable,Franklin,"1,757",34.798,0.014,"44.940496, -74.383478",3603381215,979630
Wethersfield,1823,Orangeville,Wyoming,755,35.810,0.307,"42.647567, -78.244568",3612181325,979631
Wheatfield,1836,Niagara,Niagara,"18,638",27.911,0.680,"43.095396, -78.885375",3606381380,979632
Wheatland,1821,Caledonia,Monroe,"4,897",30.411,0.261,"43.009181, -77.815932",3605581402,979633
Wheeler,1820,Bath and Prattsburgh,Steuben,"1,136",46.066,0.061,"42.436941, -77.339222",3610181457,979634
White Creek,1815,Cambridge,Washington,"3,275",47.923,0.053,"42.993109, -73.322229",3611581578,979635
Whitehall,1788,Whitehall township,Washington,"4,023",57.176,1.729,"43.539138, -73.385099",3611581633,979636
Whitestown,1788,,Oneida,"18,118",27.318,0.002,"43.135740, -75.335911",3606581754,979638
Willet,1818,Cincinnatus,Cortland,894,25.733,0.321,"42.453678, -75.920196",3602381963,979639
Williamson,1802,Sodus,Wayne,"6,860",34.640,0.015,"43.245563, -77.193969",3611782040,979640
Williamstown,1804,Mexico,Oswego,"1,335",38.672,0.491,"43.455121, -75.887933",3607582073,979641
Willing,1852,Independence and Scio,Allegany,"1,281",36.240,0.030,"42.035947, -77.893373",3600382095,979642
Willsboro,1788,Crown Point township,Essex,"1,905",42.723,30.661,"44.385498, -73.398703",3603182271,979643
Wilmington,1821,Jay,Essex,"1,139",65.240,0.233,"44.372798, -73.892043",3603182315,979644
Wilna,1813,Le Ray and Leyden,Jefferson,"5,732",78.623,0.878,"44.056111, -75.589099",3604582348,979645
Wilson,1818,Porter,Niagara,"5,847",49.405,2.057,"43.272672, -78.812943",3606382370,979646
Wilton,1818,Northumberland,Saratoga,"17,361",35.834,0.118,"43.152604, -73.726967",3609182403,979647
Windham,1798,Woodstock,Greene,"1,708",45.200,0.137,"42.318072, -74.218391",3603982480,979648
Windsor,1807,Chenango,Broome,"5,804",91.743,1.264,"42.063826, -75.672418",3600782535,979649
Winfield,1816,"Litchfield, Plainfield and Richfield",Herkimer,"1,897",23.639,0.012,"42.897097, -75.165933",3604382568,979650
Wirt,1838,Bolivar and Friendship,Allegany,"1,049",35.938,0.066,"42.124500, -78.134087",3600382623,979651
Wolcott,1807,Junius,Wayne,"4,002",39.050,0.901,"43.273626, -76.765497",3611782689,979652
Woodbury,1890,Monroe,Orange,"12,197",36.124,1.076,"41.327783, -74.101891",3607182755,979653
Woodhull,1828,Addison and Troupsburg,Steuben,"1,665",55.390,0.033,"42.050282, -77.394395",3610182843,979654
Woodstock,1788,Woodstock township,Ulster,"6,287",67.289,0.544,"42.057837, -74.166644",3611183052,979655
Worcester,1797,Cherry Valley,Otsego,"2,112",46.710,0.163,"42.582621, -74.724039",3607783129,979656
Worth,1848,Lorraine,Jefferson,198,43.218,0.086,"43.743590, -75.844697",3604583162,979657
Wright,1846,Schoharie,Schoharie,"1,516",28.636,0.082,"42.673493, -74.207635",3609583195,979658
Yates,1822,Ridgeway,Orleans,"2,567",37.387,0.000,"43.339463, -78.388285",3607383448,979659
York,1819,Caledonia and Leicester,Livingston,"3,182",49.100,0.007,"42.866835, -77.888813",3605184022,979661
Yorkshire,1820,Ischua,Cattaraugus,"3,827",36.249,0.145,"42.479169, -78.520073",3600984055,979662
Yorktown,1788,,Westchester,"36,569",36.645,2.612,"41.269857, -73.817867",3611984077,979663
